Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
Gandhi,8,191,1982,"Biography, Drama, History"
Kagemusha,8,180,1980,"Drama, History, War"
Being There,8,130,1979,"Comedy, Drama"
Annie Hall,8,93,1977,"Comedy, Romance"
Jaws,8,124,1975,"Adventure, Thriller"
Dog Day Afternoon,8,125,1975,"Biography, Crime, Drama"
Young Frankenstein,8,106,1974,Comedy
Papillon,8,151,1973,"Biography, Crime, Drama"
The Exorcist,8,122,1973,Horror
Sleuth,8,138,1972,"Mystery, Thriller"
The Last Picture Show,8,118,1971,"Drama, Romance"
Fiddler on the Roof,8,181,1971,"Drama, Family, Musical"
Il conformista,8,113,1970,Drama
Butch Cassidy and the Sundance Kid,8,110,1969,"Biography, Crime, Drama"
Rosemary's Baby,8,137,1968,"Drama, Horror"
Planet of the Apes,8,112,1968,"Adventure, Sci-Fi"
The Graduate,8,106,1967,"Comedy, Drama, Romance"
Who's Afraid of Virginia Woolf?,8,131,1966,Drama
The Sound of Music,8,172,1965,"Biography, Drama, Family"
Doctor Zhivago,8,197,1965,"Drama, Romance, War"
Per un pugno di dollari,8,99,1964,"Action, Drama, Western"
8½,8,138,1963,Drama
Vivre sa vie: Film en douze tableaux,8,80,1962,Drama
The Hustler,8,134,1961,"Drama, Sport"
La dolce vita,8,174,1960,"Comedy, Drama"
Rio Bravo,8,141,1959,"Action, Drama, Western"
Anatomy of a Murder,8,161,1959,"Crime, Drama, Mystery"
Touch of Evil,8,95,1958,"Crime, Drama, Film-Noir"
Cat on a Hot Tin Roof,8,108,1958,Drama
Sweet Smell of Success,8,96,1957,"Drama, Film-Noir"
The Killing,8,84,1956,"Crime, Drama, Film-Noir"
The Night of the Hunter,8,92,1955,"Crime, Drama, Film-Noir"
La Strada,8,108,1954,Drama
Les diaboliques,8,117,1955,"Crime, Drama, Horror"
Stalag 17,8,120,1953,"Comedy, Drama, War"
Roman Holiday,8,118,1953,"Comedy, Romance"
A Streetcar Named Desire,8,122,1951,Drama
In a Lonely Place,8,94,1950,"Drama, Film-Noir, Mystery"
Kind Hearts and Coronets,8,106,1949,"Comedy, Crime"
Rope,8,80,1948,"Crime, Drama, Mystery"
Out of the Past,8,97,1947,"Crime, Drama, Film-Noir"
Brief Encounter,8,86,1945,"Drama, Romance"
Laura,8,88,1944,"Drama, Film-Noir, Mystery"
The Best Years of Our Lives,8,170,1946,"Drama, Romance, War"
Arsenic and Old Lace,8,118,1942,"Comedy, Crime, Thriller"
The Maltese Falcon,8,100,1941,"Film-Noir, Mystery"
The Grapes of Wrath,8,129,1940,"Drama, History"
The Wizard of Oz,8,102,1939,"Adventure, Family, Fantasy"
La règle du jeu,8,110,1939,"Comedy, Drama"
The Thin Man,8,91,1934,"Comedy, Crime, Mystery"
All Quiet on the Western Front,8,152,1930,"Drama, War"
Bronenosets Potemkin,8,75,1925,"Drama, History, Thriller"
Knives Out,7.9,130,2019,"Comedy, Crime, Drama"
